cora_acct_id,hostitemid,techno,actualhours,bookerno,causes,comeback,comebackro,comebacksa,comebacktech,complaintcode,failedpart,failedpartcount,failurecode,laborcost,laborsale,labortype,linecode,misccost,miscsale,opcode,opcodedescription,partscost,partssale,ronumber,servicerequest,soldhours,timecardhours,vehid,rowlastupdated,addonflag,authorizationcode,bookeddate,bookedtime,campaigncode,cc_prompton_cp,cc_prompton_ip,cc_prompton_wp,claimtype,concerncode,concerncodelabel,concerncodelabelabbr,concerndescription,conditioncode,dispatchactualduration,dispatchcode,dispatchestimatedduration,dispatchlinecode,dispatchlinestatus,labordebitaccount,labordebitcompany,labordebitcontrol,laborjournal,laborjournalcompany,laborsaleaccount,laborsalecompany,laborsalecontrol,linoriginappl,linorigincode,loporiginappl,loporigincode,lopseqno,make,mcdlaborpercentage,originappl,origincode,otherhours,partsflag,pickitemid,servicewriter,storyseqnumber,techno2,techno3,techno4,techno5,technos,rowlastupdatedutc,lopdiscseqnos,baseid,labordiscount,partsdiscount,join_cora_acct_id,cora_acct_code,de_server_ip_addr,server_ip_addr
"4","EN038723*83920*29*0","33961","0.00","95",,"0",,,,"CUST",,"0",,"0.0000","0.0000","CPM","D","0.0000","0.0000","CUST","CUSTOMR STATES","0.0000","0.0000","83920","CUSTOMR STATES THE KEY WILL GET STUCK IN THE IGNITION SLOT. THOMAS ADVISOR WHO CHECKED IN STATES THERE IS ONLY ON PART THAN CAN CAUSE THIS FAILURE AND THEREFOR VISUAL INSPECTION IS ALL THATS REQUIRED. PLEASE CHECK AND ADVISE.","0.00","0.00","EN038723","2026-01-10 03:08:18.59546","Y",,"2026-01-09 00:00:00.0","16:29:13",,"N","N","N",,,"CONCERN CODE","CC",,,"0.0","AS10","0.0","D",,,,,"30","1","4411","1",,,,"Service","SWR","30","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","21194*LOP*83920*30","36084","1",,,,,"33961","2026-01-10 08:08:18.59546",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","EN038723*83920*28*0","33961","0.85","95",,"0",,,,"CUST",,"0",,"0.0000","0.0000","CPM","C","0.0000","0.0000","CUST","CUSTOMR STATES","0.0000","0.0000","83920","CUSTOMER STATES ONE HEADLIGHT IS BRIGHTER BY ALLOT THAN THE OTHER PLEASE CHECK AND ADVISE. RECOMMEND DIAG IF REPAIRS CANT BE IDENTIFIED VISUALLY. ADVISOR THOMAS WHO CHECKED IN RECOMMEND TO QUOTE THE BULB ONLY TO FIX THE SYMPTOM REPORTED BE ADVISED.","0.00","0.00","EN038723","2026-01-10 03:08:18.59546","Y",,"2026-01-09 00:00:00.0","16:29:13",,"N","N","N",,,"CONCERN CODE","CC",,,"0.9","AS10","0.0","C",,,,,"30","1","4411","1",,,,"Service","SWR","29","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","21194*LOP*83920*29","36084","1",,,,,"33961","2026-01-10 08:08:18.59546",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","EN038723*83920*27*0","33961","0.00","95",,"0",,,,"B011A135000",,"0",,"0.0000","0.0000","CPM","B","0.0000","0.0000","0300IN","Inspect Battery Poles, Electrolyte and Mounting","0.0000","0.0000","83920","Service - 135,000 Miles","0.00","0.00","EN038723","2026-01-10 03:08:18.59546","N",,"2026-01-09 00:00:00.0","16:28:03",,"N","N","N",,,"CONCERN CODE","CC",,,"0.6","AS10","5.4","B",,,,,"30","1","4411","1",,,,"EDGE-RO-LOP-SP-","RO-ED","27","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","21194*LOP*83920*27","36084","1",,,,,"33961","2026-01-10 08:08:18.59546",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","EN038723*83920*26*0","33961","0.00","95",,"0",,,,"B011A135000",,"0",,"0.0000","0.0000","CPM","B","0.0000","0.0000","0180IN","Inspect Renewal Date for Tire Repair Set","0.0000","0.0000","83920","Service - 135,000 Miles","0.00","0.00","EN038723","2026-01-10 03:08:18.59546","N",,"2026-01-09 00:00:00.0","16:28:03",,"N","N","N",,,"CONCERN CODE","CC",,,"0.6","AS10","5.4","B",,,,,"30","1","4411","1",,,,"EDGE-RO-LOP-SP-","RO-ED","26","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","21194*LOP*83920*26","36084","1",,,,,"33961","2026-01-10 08:08:18.59546",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","EN038723*83920*25*0","33961","0.00","95",,"0",,,,"B011A135000",,"0",,"0.0000","0.0000","CPM","B","0.0000","0.0000","0160IN","Inspect Windshield Wiper Operation","0.0000","0.0000","83920","Service - 135,000 Miles","0.00","0.00","EN038723","2026-01-10 03:08:18.59546","N",,"2026-01-09 00:00:00.0","16:28:03",,"N","N","N",,,"CONCERN CODE","CC",,,"0.6","AS10","5.4","B",,,,,"30","1","4411","1",,,,"EDGE-RO-LOP-SP-","RO-ED","25","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","21194*LOP*83920*25","36084","1",,,,,"33961","2026-01-10 08:08:18.59546",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","EN038723*83920*24*0","33961","0.00","95",,"0",,,,"B011A135000",,"0",,"0.0000","0.0000","CPM","B","0.0000","0.0000","0147IN","Inspect and Clean Plenum Panel","0.0000","0.0000","83920","Service - 135,000 Miles","0.00","0.00","EN038723","2026-01-10 03:08:18.59546","N",,"2026-01-09 00:00:00.0","16:28:03",,"N","N","N",,,"CONCERN CODE","CC",,,"0.6","AS10","5.4","B",,,,,"30","1","4411","1",,,,"EDGE-RO-LOP-SP-","RO-ED","24","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","21194*LOP*83920*24","36084","1",,,,,"33961","2026-01-10 08:08:18.59546",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","EN038723*83920*23*0","33961","0.00","95",,"0",,,,"B011A135000",,"0",,"0.0000","0.0000","CPM","B","0.0000","0.0000","0142IN","Inspect Headlamp Cleaning System","0.0000","0.0000","83920","Service - 135,000 Miles","0.00","0.00","EN038723","2026-01-10 03:08:18.59546","N",,"2026-01-09 00:00:00.0","16:28:03",,"N","N","N",,,"CONCERN CODE","CC",,,"0.6","AS10","5.4","B",,,,,"30","1","4411","1",,,,"EDGE-RO-LOP-SP-","RO-ED","23","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","21194*LOP*83920*23","36084","1",,,,,"33961","2026-01-10 08:08:18.59546",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","EN038723*83920*22*0","33961","0.00","95",,"0",,,,"B011A135000",,"0",,"0.0000","0.0000","CPM","B","0.0000","0.0000","0138IN","Inspect for Fluid Leaks","0.0000","0.0000","83920","Service - 135,000 Miles","0.00","0.00","EN038723","2026-01-10 03:08:18.59546","N",,"2026-01-09 00:00:00.0","16:28:03",,"N","N","N",,,"CONCERN CODE","CC",,,"0.6","AS10","5.4","B",,,,,"30","1","4411","1",,,,"EDGE-RO-LOP-SP-","RO-ED","22","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","21194*LOP*83920*22","36084","1",,,,,"33961","2026-01-10 08:08:18.59546",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","EN038723*83920*21*0","33961","0.00","95",,"0",,,,"B011A135000",,"0",,"0.0000","0.0000","CPM","B","0.0000","0.0000","0125IN","Inspect Function of All Lights","0.0000","0.0000","83920","Service - 135,000 Miles","0.00","0.00","EN038723","2026-01-10 03:08:18.59546","N",,"2026-01-09 00:00:00.0","16:28:03",,"N","N","N",,,"CONCERN CODE","CC",,,"0.6","AS10","5.4","B",,,,,"30","1","4411","1",,,,"EDGE-RO-LOP-SP-","RO-ED","21","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","21194*LOP*83920*21","36084","1",,,,,"33961","2026-01-10 08:08:18.59546",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","EN038723*83920*20*0","33961","0.00","95",,"0",,,,"B011A135000",,"0",,"0.0000","0.0000","CPM","B","0.0000","0.0000","0116IN","Inspect Horn","0.0000","0.0000","83920","Service - 135,000 Miles","0.00","0.00","EN038723","2026-01-10 03:08:18.59546","N",,"2026-01-09 00:00:00.0","16:28:03",,"N","N","N",,,"CONCERN CODE","CC",,,"0.6","AS10","5.4","B",,,,,"30","1","4411","1",,,,"EDGE-RO-LOP-SP-","RO-ED","20","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","21194*LOP*83920*20","36084","1",,,,,"33961","2026-01-10 08:08:18.59546",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
